method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
FedCorr,dos_failed_call,fn_noise,0.3,0.3,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.75,4,26,8,2,0.3
FedCorr,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
FedCorr,integer_overflow,diff_noise,diff,diff,0.11320754716981131,0.25,0.07317073170731707,0.8104838709677419,3,198,9,38,inf
FedCorr,integer_overflow,fn_noise,0.1,0.1,0.46846846846846846,0.37142857142857144,0.6341463414634146,0.7620967741935484,26,163,44,15,0.1
FedCorr,integer_overflow,fn_noise,0.2,0.2,0.4444444444444444,0.3793103448275862,0.5365853658536586,0.7782258064516129,22,171,36,19,0.2
FedCorr,integer_overflow,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8346774193548387,0,207,0,41,0.3
FedCorr,integer_overflow,pure,0.0,0.0,0.5,0.379746835443038,0.7317073170731707,0.7580645161290323,30,158,49,11,0.0
FedCorr,reentrancy,diff_noise,diff,diff,0.0,0.0,0.0,0.8366336633663366,0,169,0,33,inf
FedCorr,reentrancy,fn_noise,0.1,0.1,0.0,0.0,0.0,0.8118811881188119,0,164,5,33,0.1
FedCorr,reentrancy,fn_noise,0.2,0.2,0.0,0.0,0.0,0.8168316831683168,0,165,4,33,0.2
FedCorr,reentrancy,fn_noise,0.3,0.3,0.0,0.0,0.0,0.8366336633663366,0,169,0,33,0.3
FedCorr,reentrancy,pure,0.0,0.0,0.4299065420560748,0.3108108108108108,0.696969696969697,0.698019801980198,23,118,51,10,0.0
FedCorr,time_dependency,diff_noise,diff,diff,0.0,0.0,0.0,0.84375,0,54,0,10,inf
FedCorr,time_dependency,fn_noise,0.1,0.1,0.6,0.45,0.9,0.8125,9,43,11,1,0.1
FedCorr,time_dependency,fn_noise,0.2,0.2,0.6206896551724138,0.47368421052631576,0.9,0.828125,9,44,10,1,0.2
FedCorr,time_dependency,fn_noise,0.3,0.3,0.0,0.0,0.0,0.84375,0,54,0,10,0.3
FedCorr,time_dependency,pure,0.0,0.0,0.5294117647058825,0.375,0.9,0.75,9,39,15,1,0.0
Motivation_Exp1,dos_failed_call,pure,0.0,0.0,0.2,0.25,0.16666666666666666,0.8,1,31,3,5,0.0
Motivation_Exp1,integer_overflow,pure,0.0,0.0,0.5609756097560976,0.5609756097560976,0.5609756097560976,0.8548387096774194,23,189,18,18,0.0
Motivation_Exp1,reentrancy,pure,0.0,0.0,0.37837837837837834,0.34146341463414637,0.42424242424242425,0.7722772277227723,14,142,27,19,0.0
Motivation_Exp1,time_dependency,pure,0.0,0.0,0.28571428571428564,0.2727272727272727,0.3,0.765625,3,46,8,7,0.0
Motivation_Exp2,dos_failed_call,pure,0.0,0.0,0.2,0.25,0.16666666666666666,0.8,1,31,3,5,0.0
Motivation_Exp2,integer_overflow,pure,0.0,0.0,0.5111111111111111,0.46938775510204084,0.5609756097560976,0.8225806451612904,23,181,26,18,0.0
Motivation_Exp2,reentrancy,pure,0.0,0.0,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.7722772277227723,10,146,23,23,0.0
Motivation_Exp2,time_dependency,pure,0.0,0.0,0.5263157894736842,0.35714285714285715,1.0,0.71875,10,36,18,0,0.0
Motivation_Exp3,dos_failed_call,pure,0.0,0.0,0.2,0.25,0.16666666666666666,0.8,1,31,3,5,0.0
Motivation_Exp3,integer_overflow,pure,0.0,0.0,0.52,0.4406779661016949,0.6341463414634146,0.8064516129032258,26,174,33,15,0.0
Motivation_Exp3,reentrancy,pure,0.0,0.0,0.2972972972972973,0.2682926829268293,0.3333333333333333,0.7425742574257426,11,139,30,22,0.0
Motivation_Exp3,time_dependency,pure,0.0,0.0,0.4878048780487805,0.3225806451612903,1.0,0.671875,10,33,21,0,0.0
Motivation_Exp4,dos_failed_call,pure,0.0,0.0,0.13968252704277548,0.09210052442029444,0.3095238095238095,0.6955357142857145,1,25,8,4,0.0
Motivation_Exp4,integer_overflow,pure,0.0,0.0,0.39456953949794876,0.3450316085103808,0.548780487804878,0.7727534562211983,22,169,37,18,0.0
Motivation_Exp4,reentrancy,pure,0.0,0.0,0.2870982757082761,0.21582913909237184,0.4523809523809524,0.7309052333804807,14,132,36,18,0.0
Motivation_Exp4,time_dependency,pure,0.0,0.0,0.26078579789079137,0.18823549134643627,0.46785714285714286,0.7388392857142857,4,42,11,5,0.0
RESCUER,dos_failed_call,diff_noise,diff,diff,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,inf
RESCUER,dos_failed_call,fn_noise,0.1,0.1,0.37499999999999994,0.3,0.5,0.75,3,27,7,3,0.1
RESCUER,dos_failed_call,fn_noise,0.2,0.2,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.2
RESCUER,dos_failed_call,fn_noise,0.3,0.3,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.3
RESCUER,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
RESCUER,integer_overflow,diff_noise,diff,diff,0.2837370242214533,0.16532258064516128,1.0,0.16532258064516128,41,0,207,0,inf
